wafer_id,n_dies,n_pos,AP_A,AP_B,delta_AP,AUC_A,AUC_B,delta_AUC,F1_A,F1_B,delta_F1
W_N_0133,1684,129,0.5376166645252903,0.6239133409765029,0.08629667645121253,0.8526932376180861,0.8952316857349385,0.04253844811685237,0.47126436781609193,0.5333333333333333,0.06206896551724139
W_N_0134,427,20,0.6090904265806819,0.6535080050422344,0.044417578461552476,0.8520884520884522,0.8932432432432432,0.04115479115479104,0.5882352941176471,0.5641025641025641,-0.02413273001508298
W_N_0135,1277,20,0.4782669334501616,0.47098848629001894,-0.007278447160142643,0.8726730310262529,0.9095465393794749,0.036873508353222006,0.5714285714285714,0.5333333333333333,-0.03809523809523807
W_N_0136,964,95,0.6500200384971487,0.7255162789598535,0.07549624046270476,0.8589667494397674,0.8954394040336745,0.03647265459390714,0.5732484076433121,0.6298342541436464,0.05658584650033427
W_N_0137,456,5,0.6790966994788651,0.6976190476190476,0.0185223481401825,0.9294900221729491,0.9875831485587583,0.05809312638580921,0.75,0.75,0.0
W_N_0138,1278,17,0.6682985511713883,0.6534985677370422,-0.014799983434346076,0.9128609413630638,0.9514391006204227,0.03857815925735886,0.7142857142857143,0.625,-0.0892857142857143
W_N_0139,656,28,0.5617388775382327,0.6427117187327321,0.08097284119449943,0.8599863512283894,0.8956437670609645,0.03565741583257509,0.5853658536585366,0.6,0.014634146341463428
W_N_0140,444,3,0.7011494252873562,0.7192982456140351,0.01814882032667886,0.9803476946334089,0.9879062736205594,0.0075585789871505105,0.5714285714285714,0.5714285714285714,0.0
W_N_0141,1119,3,0.4827956989247312,0.5035335689045937,0.02073786997986249,0.9814814814814814,0.9157706093189965,-0.06571087216248495,0.5,0.5,0.0
W_N_0143,449,7,0.36995804769903473,0.3414096889022864,-0.02854835879674833,0.9001292824822236,0.8603749191984487,-0.03975436328377491,0.4444444444444444,0.4444444444444444,0.0
W_N_0146,451,52,0.6903879600077365,0.7520368669747862,0.06164890696704972,0.8779641411220359,0.9082321187584346,0.030267977636398657,0.6170212765957447,0.6666666666666666,0.049645390070921946
W_N_0147,1397,20,0.5572401248368983,0.6667325033821547,0.1094923785452564,0.8470951343500364,0.9660493827160493,0.11895424836601298,0.6666666666666666,0.6451612903225806,-0.021505376344086002
